id,l1_code,l1_name,l1_name_en,l2_code,l2_name,l2_name_en,l3_code,l3_name,l3_name_en,natural_accounting_class,classification_code,full_code,cap_threshold,cap_threshold_large_entity,useful_life_min,useful_life_max
cls_04030301,04,المباني غير السكنية,Non-residential Buildings,03,مباني تجارية وترفيهية دائمة,Permanent Commercial and Entertainment Buildings,03,مباني تجارية وترفيهية دائمة - وحدة,Permanent Commercial and Entertainment Buildings Unit,01,040303,04030301,,,30,50
cls_04030303,04,المباني غير السكنية,Non-residential Buildings,03,مباني تجارية وترفيهية دائمة,Permanent Commercial and Entertainment Buildings,03,مباني تجارية وترفيهية دائمة - وحدة,Permanent Commercial and Entertainment Buildings Unit,03,040303,04030303,,,30,50
cls_04030304,04,المباني غير السكنية,Non-residential Buildings,03,مباني تجارية وترفيهية دائمة,Permanent Commercial and Entertainment Buildings,03,مباني تجارية وترفيهية دائمة - وحدة,Permanent Commercial and Entertainment Buildings Unit,04,040303,04030304,,,30,50
cls_04030401,04,المباني غير السكنية,Non-residential Buildings,03,مباني تجارية وترفيهية دائمة,Permanent Commercial and Entertainment Buildings,04,مباني تجارية وترفيهية دائمة - هيكل البناء,Permanent Commercial and Entertainment Buildings- Structure,01,040304,04030401,,,40,50
cls_04030403,04,المباني غير السكنية,Non-residential Buildings,03,مباني تجارية وترفيهية دائمة,Permanent Commercial and Entertainment Buildings,04,مباني تجارية وترفيهية دائمة - هيكل البناء,Permanent Commercial and Entertainment Buildings- Structure,03,040304,04030403,,,40,50
cls_04030404,04,المباني غير السكنية,Non-residential Buildings,03,مباني تجارية وترفيهية دائمة,Permanent Commercial and Entertainment Buildings,04,مباني تجارية وترفيهية دائمة - هيكل البناء,Permanent Commercial and Entertainment Buildings- Structure,04,040304,04030404,,,40,50
cls_04040101,04,المباني غير السكنية,Non-residential Buildings,04,مباني الدفاع الدائمة,Permanent Defense Buildings,01,مباني الدفاع الدائم - تشطيبات,Permanent Defense Buildings - Interior,01,040401,04040101,,,15,25
cls_04040103,04,المباني غير السكنية,Non-residential Buildings,04,مباني الدفاع الدائمة,Permanent Defense Buildings,01,مباني الدفاع الدائم - تشطيبات,Permanent Defense Buildings - Interior,03,040401,04040103,,,15,25
cls_04040104,04,المباني غير السكنية,Non-residential Buildings,04,مباني الدفاع الدائمة,Permanent Defense Buildings,01,مباني الدفاع الدائم - تشطيبات,Permanent Defense Buildings - Interior,04,040401,04040104,,,15,25
cls_04040201,04,المباني غير السكنية,Non-residential Buildings,04,مباني الدفاع الدائمة,Permanent Defense Buildings,02,مباني الدفاع الدائم - خدمات,Permanent Defense Buildings - Services,01,040402,04040201,,,20,30
cls_04040203,04,المباني غير السكنية,Non-residential Buildings,04,مباني الدفاع الدائمة,Permanent Defense Buildings,02,مباني الدفاع الدائم - خدمات,Permanent Defense Buildings - Services,03,040402,04040203,,,20,30
cls_04040204,04,المباني غير السكنية,Non-residential Buildings,04,مباني الدفاع الدائمة,Permanent Defense Buildings,02,مباني الدفاع الدائم - خدمات,Permanent Defense Buildings - Services,04,040402,04040204,,,20,30
cls_04040301,04,المباني غير السكنية,Non-residential Buildings,04,مباني الدفاع الدائمة,Permanent Defense Buildings,03,مباني الدفاع الدائم - هيكل البناء,Permanent Defense Buildings - Structure,01,040403,04040301,,,40,50
cls_04040303,04,المباني غير السكنية,Non-residential Buildings,04,مباني الدفاع الدائمة,Permanent Defense Buildings,03,مباني الدفاع الدائم - هيكل البناء,Permanent Defense Buildings - Structure,03,040403,04040303,,,40,50
cls_04040304,04,المباني غير السكنية,Non-residential Buildings,04,مباني الدفاع الدائمة,Permanent Defense Buildings,03,مباني الدفاع الدائم - هيكل البناء,Permanent Defense Buildings - Structure,04,040403,04040304,,,40,50
cls_04040401,04,المباني غير السكنية,Non-residential Buildings,04,مباني الدفاع الدائمة,Permanent Defense Buildings,04,مباني الدفاع الدائم - وحدة,Permanent Defense Buildings Unit,01,040404,04040401,,,30,50
cls_04040403,04,المباني غير السكنية,Non-residential Buildings,04,مباني الدفاع الدائمة,Permanent Defense Buildings,04,مباني الدفاع الدائم - وحدة,Permanent Defense Buildings Unit,03,040404,04040403,,,30,50
cls_04040404,04,المباني غير السكنية,Non-residential Buildings,04,مباني الدفاع الدائمة,Permanent Defense Buildings,04,مباني الدفاع الدائم - وحدة,Permanent Defense Buildings Unit,04,040404,04040404,,,30,50
cls_04050101,04,المباني غير السكنية,Non-residential Buildings,05,مباني التعليم ومراكز البحوث الدائمة,Permanent Educational Buildings & Research Centers,01,الأبنية التعليمية الدائمة ومراكز البحوث - تشطيبات,Permanent Educational Buildings & Research Centers - Interior,01,040501,04050101,,,15,25
cls_04050103,04,المباني غير السكنية,Non-residential Buildings,05,مباني التعليم ومراكز البحوث الدائمة,Permanent Educational Buildings & Research Centers,01,الأبنية التعليمية الدائمة ومراكز البحوث - تشطيبات,Permanent Educational Buildings & Research Centers - Interior,03,040501,04050103,,,15,25
cls_04050104,04,المباني غير السكنية,Non-residential Buildings,05,مباني التعليم ومراكز البحوث الدائمة,Permanent Educational Buildings & Research Centers,01,الأبنية التعليمية الدائمة ومراكز البحوث - تشطيبات,Permanent Educational Buildings & Research Centers - Interior,04,040501,04050104,,,15,25
cls_04050201,04,المباني غير السكنية,Non-residential Buildings,05,مباني التعليم ومراكز البحوث الدائمة,Permanent Educational Buildings & Research Centers,02,الأبنية التعليمية الدائمة ومراكز البحوث - خدمات,Permanent Educational Buildings & Research Centers - Services,01,040502,04050201,,,20,30
cls_04050203,04,المباني غير السكنية,Non-residential Buildings,05,مباني التعليم ومراكز البحوث الدائمة,Permanent Educational Buildings & Research Centers,02,الأبنية التعليمية الدائمة ومراكز البحوث - خدمات,Permanent Educational Buildings & Research Centers - Services,03,040502,04050203,,,20,30
cls_04050204,04,المباني غير السكنية,Non-residential Buildings,05,مباني التعليم ومراكز البحوث الدائمة,Permanent Educational Buildings & Research Centers,02,الأبنية التعليمية الدائمة ومراكز البحوث - خدمات,Permanent Educational Buildings & Research Centers - Services,04,040502,04050204,,,20,30
cls_04050301,04,المباني غير السكنية,Non-residential Buildings,05,مباني التعليم ومراكز البحوث الدائمة,Permanent Educational Buildings & Research Centers,03,الأبنية التعليمية الدائمة ومراكز البحوث - هيكل البناء,Permanent Educational Buildings & Research Centers - Structure,01,040503,04050301,,,40,50
